timestamp_s,engine_id,mission_id,mission_phase,throttle_pct,altitude_m,ambient_temperature_c,rpm,cht_c,egt_c,oil_pressure_kpa,oil_temperature_c,fuel_flow_lph,vibration_g,alternator_voltage_v,battery_voltage_v,injection_timing_deg,expected_rpm,expected_cht_c,expected_egt_c,expected_oil_pressure_kpa,expected_oil_temperature_c,expected_fuel_flow_lph,expected_vibration_g,expected_injection_timing_deg,true_fault_type,true_fault_active,true_severity,residual_rpm,residual_cht_c,residual_egt_c,residual_oil_pressure_kpa,residual_oil_temperature_c,residual_fuel_flow_lph,residual_vibration_g,residual_injection_timing_deg
11.0,ENG-001,MIS-0001,CLIMB,84.16,4674.0,-4.99,3135.8,166.81,781.52,453.87,40.5,22.64,0.316,28.33,25.7,24.62,3156.6,165.75,787.66,452.49,40.7,22.52,0.279,24.52,SENSOR_DRIFT,0,0.0,-20.799999999999727,1.0600000000000023,-6.139999999999986,1.3799999999999955,-0.20000000000000284,0.120000000000001,0.03699999999999998,0.10000000000000142
12.0,ENG-001,MIS-0001,CLIMB,85.32,4917.0,-8.0,3185.6,166.42,784.94,460.86,40.95,22.59,0.296,28.01,25.46,24.56,3188.9,166.79,793.66,455.96,40.77,22.77,0.281,24.56,SENSOR_DRIFT,0,0.0,-3.300000000000182,-0.37000000000000455,-8.719999999999914,4.900000000000034,0.17999999999999972,-0.17999999999999972,0.014999999999999958,0.0
13.0,ENG-001,MIS-0001,CLIMB,80.33,5160.1,-8.34,3038.4,163.29,765.86,432.72,41.33,21.79,0.253,28.12,25.5,24.32,3049.2,162.3,767.71,440.99,40.84,21.67,0.276,24.41,SENSOR_DRIFT,0,0.0,-10.799999999999727,0.9899999999999807,-1.8500000000000227,-8.269999999999982,0.4899999999999949,0.11999999999999744,-0.02300000000000002,-0.08999999999999986
14.0,ENG-001,MIS-0001,CLIMB,84.16,5403.2,-10.08,3161.2,165.13,,459.8,40.41,22.54,0.287,27.97,25.4,24.39,3156.4,165.74,787.61,452.47,40.9,22.51,0.281,24.52,SENSOR_DRIFT,0,0.0,4.799999999999727,-0.6100000000000136,,7.329999999999984,-0.490000000000002,0.029999999999997584,0.00599999999999995,-0.129999999999999
15.0,ENG-001,MIS-0001,CLIMB,85.41,5646.3,-12.74,3195.5,165.44,790.28,455.21,41.35,22.58,0.303,28.17,25.49,24.09,3191.5,166.87,794.14,456.23,40.97,22.79,0.283,24.56,SENSOR_DRIFT,0,0.0,4.0,-1.4300000000000068,-3.8600000000000136,-1.0200000000000387,0.38000000000000256,-0.21000000000000085,0.020000000000000018,-0.46999999999999886
16.0,ENG-001,MIS-0001,CLIMB,87.35,5889.4,-13.73,3243.8,165.33,798.79,463.47,40.85,22.75,0.292,27.78,25.78,24.61,3245.9,168.62,804.24,462.06,41.05,23.22,0.286,24.62,SENSOR_DRIFT,0,0.0,-2.099999999999909,-3.289999999999992,-5.4500000000000455,1.410000000000025,-0.19999999999999574,-0.46999999999999886,0.006000000000000005,-0.010000000000001563
17.0,ENG-001,MIS-0001,CRUISE,61.55,6000.0,-13.61,2507.4,143.55,674.35,385.38,40.09,18.04,0.269,27.97,25.45,24.06,2523.4,145.39,670.06,384.65,41.1,17.54,0.26,23.85,SENSOR_DRIFT,0,0.0,-16.0,-1.839999999999975,4.290000000000077,0.7300000000000182,-1.009999999999998,0.5,0.009000000000000008,0.2099999999999973
18.0,ENG-001,MIS-0001,CRUISE,59.99,6000.0,-13.81,2475.7,143.72,667.54,381.92,40.62,16.76,0.269,27.81,25.54,23.92,2479.6,143.99,661.93,379.96,41.16,17.2,0.259,23.8,SENSOR_DRIFT,0,0.0,-3.900000000000091,-0.27000000000001023,5.610000000000014,1.9600000000000364,-0.5399999999999991,-0.4399999999999977,0.010000000000000009,0.120000000000001
19.0,ENG-001,MIS-0001,CRUISE,62.51,6000.0,-14.37,2539.9,144.75,671.18,386.32,42.39,18.34,0.255,28.15,25.43,24.1,2550.4,146.26,675.07,387.54,41.21,17.75,0.262,23.88,SENSOR_DRIFT,0,0.0,-10.5,-1.509999999999991,-3.8900000000001,-1.2200000000000273,1.1799999999999997,0.5899999999999999,-0.007000000000000006,0.22000000000000242
20.0,ENG-001,MIS-0001,CRUISE,63.26,6000.0,-14.72,2566.1,146.4,674.67,384.07,42.8,17.97,0.285,27.89,25.52,23.44,2571.2,146.93,678.94,389.77,41.27,17.92,0.263,23.9,SENSOR_DRIFT,0,0.0,-5.099999999999909,-0.5300000000000011,-4.2700000000000955,-5.699999999999989,1.529999999999994,0.04999999999999716,0.021999999999999964,-0.4599999999999973
21.0,ENG-001,MIS-0001,CRUISE,55.1,6000.0,-13.71,2314.4,139.62,645.42,361.05,40.77,16.07,0.234,27.79,25.41,23.55,2342.8,139.59,636.52,365.3,41.32,16.12,0.255,23.65,SENSOR_DRIFT,0,0.0,-28.40000000000009,0.030000000000001137,8.899999999999977,-4.25,-0.5499999999999972,-0.05000000000000071,-0.02099999999999999,-0.09999999999999787
22.0,ENG-001,MIS-0001,CRUISE,55.73,6000.0,-13.86,2383.5,140.47,635.9,363.86,39.96,16.36,0.278,28.21,25.22,23.72,2360.5,140.16,639.81,367.2,41.38,16.26,0.256,23.67,SENSOR_DRIFT,0,0.0,23.0,0.3100000000000023,-3.909999999999968,-3.339999999999975,-1.4200000000000017,0.09999999999999787,0.02200000000000002,0.04999999999999716
23.0,ENG-001,MIS-0001,CRUISE,61.86,6000.0,-14.62,2544.6,146.3,670.05,385.38,40.35,17.81,0.257,28.16,25.61,23.96,2532.0,145.67,671.66,385.57,41.43,17.61,0.263,23.86,SENSOR_DRIFT,0,0.0,12.599999999999909,0.6300000000000239,-1.6100000000000136,-0.18999999999999773,-1.0799999999999983,0.1999999999999993,-0.006000000000000005,0.10000000000000142
24.0,ENG-001,MIS-0001,CRUISE,53.57,6000.0,-14.75,2273.8,138.77,639.36,357.58,41.42,16.18,0.297,28.09,25.2,23.21,2300.0,138.21,628.57,360.71,41.48,15.79,0.255,23.61,SENSOR_DRIFT,0,0.0,-26.199999999999818,0.5600000000000023,10.789999999999964,-3.1299999999999955,-0.05999999999999517,0.39000000000000057,0.04199999999999998,-0.3999999999999986
25.0,ENG-001,MIS-0001,CRUISE,61.79,6000.0,-13.84,2507.9,144.52,671.55,380.88,40.15,17.61,0.307,28.13,25.48,23.86,2530.2,145.61,671.33,385.38,41.54,17.59,0.264,23.85,SENSOR_DRIFT,0,0.0,-22.299999999999727,-1.0900000000000034,0.2199999999999136,-4.5,-1.3900000000000006,0.019999999999999574,0.04299999999999998,0.00999999999999801
26.0,ENG-001,MIS-0001,CRUISE,57.92,6000.0,-13.95,2416.1,143.29,652.82,376.67,40.93,17.22,0.277,27.97,25.6,23.72,2421.8,142.13,651.19,373.77,41.59,16.74,0.26,23.74,SENSOR_DRIFT,0,0.036,-5.700000000000273,1.1599999999999966,1.6299999999999955,2.900000000000034,-0.6600000000000037,0.4800000000000004,0.017000000000000015,-0.019999999999999574
27.0,ENG-001,MIS-0001,CRUISE,57.51,6000.0,-14.01,2409.1,140.47,648.49,371.25,43.12,16.78,0.247,27.94,25.31,23.3,2410.4,141.76,649.07,372.54,41.65,16.65,0.26,23.73,SENSOR_DRIFT,0,0.041,-1.300000000000182,-1.289999999999992,-0.5800000000000409,-1.2900000000000205,1.4699999999999989,0.13000000000000256,-0.013000000000000012,-0.4299999999999997
28.0,ENG-001,MIS-0001,CRUISE,61.45,6000.0,-14.95,2525.5,146.13,659.01,383.15,41.46,17.51,0.243,28.07,25.51,23.73,2520.7,145.31,669.56,384.36,41.7,17.52,0.264,23.84,SENSOR_DRIFT,0,0.048,4.800000000000182,0.8199999999999932,-10.549999999999955,-1.2100000000000364,-0.240000000000002,-0.00999999999999801,-0.02100000000000002,-0.10999999999999943
29.0,ENG-001,MIS-0001,CRUISE,59.35,6000.0,-14.94,2447.2,142.62,655.88,374.41,43.39,16.68,0.267,28.05,25.28,24.07,2461.7,143.41,658.6,378.04,41.76,17.06,0.262,23.78,SENSOR_DRIFT,1,0.054,-14.5,-0.789999999999992,-2.7200000000000273,-3.6299999999999955,1.6300000000000026,-0.379999999999999,0.0050000000000000044,0.28999999999999915
30.0,ENG-001,MIS-0001,CRUISE,59.99,6000.0,-14.1,2479.6,143.32,664.67,376.13,41.62,16.74,0.273,27.92,25.36,23.41,2479.8,143.99,661.97,379.98,41.81,17.2,0.263,23.8,SENSOR_DRIFT,1,0.062,-0.20000000000027285,-0.6700000000000159,2.699999999999932,-3.8500000000000227,-0.19000000000000483,-0.46000000000000085,0.010000000000000009,-0.39000000000000057
31.0,ENG-001,MIS-0001,CRUISE,58.01,6000.0,-13.69,2408.6,140.55,655.7,363.66,41.21,16.39,0.236,28.0,25.58,23.8,2424.4,142.21,651.67,374.04,41.86,16.76,0.261,23.74,SENSOR_DRIFT,1,0.071,-15.800000000000182,-1.6599999999999966,4.030000000000086,-10.379999999999995,-0.6499999999999986,-0.370000000000001,-0.025000000000000022,0.060000000000002274
32.0,ENG-001,MIS-0001,CRUISE,65.0,6000.0,-14.26,2599.9,147.96,693.88,392.27,42.73,18.15,0.251,28.13,25.55,23.59,2620.1,148.5,688.02,395.01,41.92,18.3,0.268,23.95,SENSOR_DRIFT,1,0.081,-20.199999999999818,-0.539999999999992,5.860000000000014,-2.740000000000009,0.8099999999999952,-0.15000000000000213,-0.017000000000000015,-0.35999999999999943
33.0,ENG-001,MIS-0001,CRUISE,61.0,6000.0,-14.52,2507.6,144.45,664.94,380.48,42.01,16.93,0.263,27.86,25.54,24.08,2508.0,144.9,667.2,383.0,41.98,17.42,0.264,23.83,SENSOR_DRIFT,1,0.092,-0.40000000000009095,-0.45000000000001705,-2.259999999999991,-2.519999999999982,0.030000000000001137,-0.490000000000002,-0.0010000000000000009,0.25
34.0,ENG-001,MIS-0001,CRUISE,62.3,6000.0,-15.0,2530.7,146.89,676.31,388.14,42.1,17.8,0.273,28.29,25.62,23.85,2544.3,146.07,673.94,386.89,42.03,17.7,0.265,23.87,SENSOR_DRIFT,1,0.105,-13.600000000000364,0.8199999999999932,2.369999999999891,1.25,0.07000000000000028,0.10000000000000142,0.008000000000000007,-0.019999999999999574
35.0,ENG-001,MIS-0001,CRUISE,63.8,6000.0,-13.51,2595.2,149.04,678.97,397.05,42.69,17.64,0.286,28.29,25.28,23.76,2586.3,147.42,681.74,391.39,42.09,18.04,0.267,23.91,SENSOR_DRIFT,1,0.119,8.899999999999636,1.6200000000000045,-2.769999999999982,5.660000000000025,0.5999999999999943,-0.3999999999999986,0.01899999999999996,-0.14999999999999858
36.0,ENG-001,MIS-0001,CRUISE,58.67,6000.0,-13.68,2435.0,143.61,653.56,381.47,42.22,16.91,0.266,28.28,25.36,23.74,2442.8,142.8,655.09,376.02,42.14,16.91,0.261,23.76,SENSOR_DRIFT,1,0.134,-7.800000000000182,0.8100000000000023,-1.5300000000000864,5.4500000000000455,0.0799999999999983,0.0,0.0050000000000000044,-0.020000000000003126
37.0,ENG-001,MIS-0001,CRUISE,60.32,6000.0,-13.54,2491.2,143.98,665.37,378.27,41.11,17.35,0.248,27.61,25.6,24.11,2488.9,144.29,663.65,380.95,42.2,17.27,0.263,23.81,SENSOR_DRIFT,1,0.15,2.299999999999727,-0.3100000000000023,1.7200000000000273,-2.680000000000007,-1.0900000000000034,0.08000000000000185,-0.015000000000000013,0.3000000000000007
38.0,ENG-001,MIS-0001,CRUISE,62.23,6000.0,-14.47,2534.3,147.57,677.94,391.48,41.52,17.52,0.285,28.15,25.77,24.04,2542.4,146.01,673.59,386.68,42.25,17.69,0.264,23.87,SENSOR_DRIFT,1,0.168,-8.099999999999909,1.5600000000000023,4.350000000000023,4.800000000000011,-0.7299999999999969,-0.1700000000000017,0.020999999999999963,0.16999999999999815
39.0,ENG-001,MIS-0001,CRUISE,59.77,6000.0,-14.01,2449.4,143.58,661.29,378.68,41.99,17.23,0.226,28.03,25.59,23.76,2473.4,143.79,660.78,379.3,42.31,17.15,0.261,23.79,SENSOR_DRIFT,1,0.188,-24.0,-0.20999999999997954,0.5099999999999909,-0.6200000000000045,-0.3200000000000003,0.08000000000000185,-0.035,-0.029999999999997584
40.0,ENG-001,MIS-0001,CRUISE,65.95,6000.0,-13.83,2642.0,148.04,692.13,390.71,43.42,18.38,0.292,28.08,25.46,24.18,2646.5,149.35,692.93,397.84,42.36,18.51,0.267,23.98,SENSOR_DRIFT,1,0.209,-4.5,-1.3100000000000023,-0.7999999999999545,-7.1299999999999955,1.0600000000000023,-0.13000000000000256,0.024999999999999967,0.1999999999999993
41.0,ENG-001,MIS-0001,CRUISE,64.48,6000.0,-14.24,2587.9,147.12,682.78,397.86,42.97,18.62,0.259,28.09,25.55,23.93,2605.4,148.03,685.29,393.44,42.42,18.19,0.265,23.93,SENSOR_DRIFT,1,0.23,-17.5,-0.9099999999999966,-2.509999999999991,4.420000000000016,0.5499999999999972,0.4299999999999997,-0.006000000000000005,0.0
42.0,ENG-001,MIS-0001,CRUISE,56.16,6000.0,-13.27,2365.5,140.42,646.47,364.12,41.9,17.05,0.247,28.17,25.58,23.57,2372.4,140.54,642.02,368.47,42.47,16.35,0.256,23.68,SENSOR_DRIFT,1,0.253,-6.900000000000091,-0.12000000000000455,4.4500000000000455,-4.350000000000023,-0.5700000000000003,0.6999999999999993,-0.009000000000000008,-0.10999999999999943
43.0,ENG-001,MIS-0001,CRUISE,60.32,6000.0,-13.65,2487.3,143.63,662.34,376.96,41.62,17.51,0.248,28.21,25.27,24.16,2488.9,144.28,663.64,380.95,42.53,17.27,0.26,23.81,SENSOR_DRIFT,1,0.277,-1.599999999999909,-0.6500000000000057,-1.2999999999999545,-3.990000000000009,-0.9100000000000037,0.240000000000002,-0.01200000000000001,0.3500000000000014
44.0,ENG-001,MIS-0001,CRUISE,59.38,6000.0,-13.33,2477.3,145.94,662.17,381.14,42.73,16.78,0.27,27.81,25.59,23.79,2462.7,143.44,658.79,378.15,42.58,17.06,0.259,23.78,SENSOR_DRIFT,1,0.302,14.600000000000364,2.5,3.3799999999999955,2.990000000000009,0.14999999999999858,-0.2799999999999976,0.01100000000000001,0.00999999999999801
45.0,ENG-001,MIS-0001,CRUISE,57.61,6000.0,-13.38,2434.3,145.29,650.31,370.83,41.79,16.5,0.299,27.88,25.66,23.51,2413.1,141.85,649.58,372.83,42.63,16.67,0.256,23.73,SENSOR_DRIFT,1,0.327,21.200000000000273,3.4399999999999977,0.7299999999999045,-2.0,-0.8400000000000034,-0.1700000000000017,0.04299999999999998,-0.21999999999999886
46.0,ENG-001,MIS-0001,CRUISE,56.28,6000.0,-14.48,2373.0,140.37,637.79,366.63,40.01,16.47,0.237,27.94,25.55,23.79,2376.0,140.66,642.68,368.85,42.68,16.38,0.254,23.69,SENSOR_DRIFT,1,0.352,-3.0,-0.28999999999999204,-4.889999999999986,-2.2200000000000273,-2.6700000000000017,0.08999999999999986,-0.017000000000000015,0.09999999999999787
47.0,ENG-001,MIS-0001,LOITER,41.67,6000.0,-13.09,1972.0,126.78,570.6,323.96,42.87,12.7,0.233,27.86,25.38,23.32,1966.7,127.5,566.66,325.0,42.73,13.17,0.238,23.25,SENSOR_DRIFT,1,0.377,5.2999999999999545,-0.7199999999999989,3.9400000000000546,-1.0400000000000205,0.14000000000000057,-0.47000000000000064,-0.004999999999999977,0.07000000000000028
48.0,ENG-001,MIS-0001,LOITER,49.05,6000.0,-13.32,2202.0,131.72,608.52,353.67,42.65,14.97,0.239,28.08,25.63,23.54,2173.4,134.14,605.06,347.15,42.77,14.79,0.245,23.47,SENSOR_DRIFT,1,0.401,28.59999999999991,-2.4199999999999875,3.4600000000000364,6.520000000000039,-0.12000000000000455,0.1800000000000015,-0.006000000000000005,0.07000000000000028
49.0,ENG-001,MIS-0001,LOITER,42.84,6000.0,-13.32,2007.3,128.14,568.18,328.31,43.12,13.73,0.201,27.56,25.76,23.27,1999.5,128.55,572.76,328.52,42.82,13.42,0.238,23.29,SENSOR_DRIFT,1,0.425,7.7999999999999545,-0.410000000000025,-4.580000000000041,-0.20999999999997954,0.29999999999999716,0.3100000000000005,-0.03699999999999998,-0.019999999999999574
50.0,ENG-001,MIS-0001,LOITER,43.03,6000.0,-13.57,2019.0,129.59,571.48,334.94,42.93,13.44,0.22,27.98,25.3,23.49,2004.8,128.73,573.75,329.08,42.86,13.47,0.237,23.29,SENSOR_DRIFT,1,0.448,14.200000000000045,0.8600000000000136,-2.269999999999982,5.860000000000014,0.07000000000000028,-0.030000000000001137,-0.016999999999999987,0.1999999999999993
51.0,ENG-001,MIS-0001,LOITER,47.7,6000.0,-14.33,2133.5,133.38,601.79,350.68,43.71,14.34,0.243,28.28,25.3,23.42,2135.6,132.93,598.04,343.1,42.91,14.49,0.241,23.43,SENSOR_DRIFT,1,0.47,-2.099999999999909,0.44999999999998863,3.75,7.579999999999984,0.8000000000000043,-0.15000000000000036,0.0020000000000000018,-0.00999999999999801
52.0,ENG-001,MIS-0001,LOITER,49.81,6000.0,-14.03,2176.9,136.46,607.07,358.38,43.35,14.88,0.225,27.84,25.52,23.25,2194.6,134.83,609.0,349.43,42.96,14.96,0.243,23.49,SENSOR_DRIFT,1,0.491,-17.699999999999818,1.6299999999999955,-1.92999999999995,8.949999999999989,0.39000000000000057,-0.08000000000000007,-0.017999999999999988,-0.23999999999999844
53.0,ENG-001,MIS-0001,LOITER,44.72,6000.0,-14.16,2034.3,129.83,577.15,333.54,42.37,14.14,0.246,28.15,25.56,23.37,2052.2,130.25,582.56,334.17,43.0,13.84,0.236,23.34,SENSOR_DRIFT,1,0.511,-17.899999999999864,-0.4199999999999875,-5.409999999999968,-0.6299999999999955,-0.6300000000000026,0.3000000000000007,0.010000000000000009,0.030000000000001137
54.0,ENG-001,MIS-0001,LOITER,44.33,6000.0,-14.32,2047.8,128.59,581.44,335.37,43.69,13.57,0.241,27.82,25.33,23.45,2041.3,129.9,580.53,333.0,43.05,13.75,0.235,23.33,SENSOR_DRIFT,1,0.529,6.5,-1.3100000000000023,0.9100000000000819,2.3700000000000045,0.6400000000000006,-0.17999999999999972,0.006000000000000005,0.120000000000001
55.0,ENG-001,MIS-0001,LOITER,44.41,6000.0,-14.45,2031.9,128.19,581.51,334.63,43.07,13.77,0.236,28.16,25.55,23.38,2043.5,129.97,580.94,333.23,43.09,13.77,0.234,23.33,SENSOR_DRIFT,1,0.545,-11.599999999999909,-1.7800000000000011,0.5699999999999363,1.3999999999999773,-0.020000000000003126,0.0,0.001999999999999974,0.05000000000000071
56.0,ENG-001,MIS-0001,DESCENT,24.77,6000.0,-12.76,1527.7,111.82,474.94,271.06,44.4,9.49,0.206,28.01,25.6,22.33,1493.6,112.3,478.82,274.32,43.12,9.45,0.213,22.74,SENSOR_DRIFT,1,0.56,34.100000000000136,-0.480000000000004,-3.8799999999999955,-3.259999999999991,1.2800000000000011,0.040000000000000924,-0.007000000000000006,-0.41000000000000014
57.0,ENG-001,MIS-0001,DESCENT,30.29,6000.0,-13.64,1642.2,116.93,510.25,294.59,43.43,10.55,0.24,27.86,25.44,23.05,1648.2,117.26,507.52,290.88,43.16,10.66,0.218,22.91,SENSOR_DRIFT,1,0.574,-6.0,-0.3299999999999983,2.730000000000018,3.7099999999999795,0.2700000000000031,-0.10999999999999943,0.021999999999999992,0.14000000000000057
58.0,ENG-001,MIS-0001,DESCENT,33.16,6000.0,-14.4,1742.4,121.22,523.72,302.21,42.72,11.36,0.228,27.94,25.58,23.3,1728.5,119.84,522.44,299.48,43.2,11.3,0.22,22.99,SENSOR_DRIFT,1,0.587,13.900000000000091,1.3799999999999955,1.2799999999999727,2.7299999999999613,-0.480000000000004,0.05999999999999872,0.008000000000000007,0.3100000000000023
59.0,ENG-001,MIS-0001,DESCENT,31.03,6000.0,-15.16,1670.7,117.93,514.7,288.07,42.83,10.33,0.219,27.9,25.6,22.92,1668.9,117.93,511.37,293.1,43.24,10.83,0.216,22.93,SENSOR_DRIFT,1,0.598,1.7999999999999545,0.0,3.330000000000041,-5.03000000000003,-0.4100000000000037,-0.5,0.0030000000000000027,-0.00999999999999801
60.0,ENG-001,MIS-0001,DESCENT,30.38,6000.0,-13.61,1641.9,116.47,507.77,291.45,43.05,10.8,0.218,27.66,25.3,22.76,1650.7,117.34,507.99,291.15,43.27,10.68,0.215,22.91,SENSOR_DRIFT,1,0.608,-8.799999999999955,-0.8700000000000045,-0.22000000000002728,0.30000000000001137,-0.22000000000000597,0.120000000000001,0.0030000000000000027,-0.14999999999999858
61.0,ENG-001,MIS-0001,DESCENT,29.99,6000.0,-13.16,1623.0,116.77,505.3,298.16,43.09,11.14,0.24,28.18,25.49,23.03,1639.6,116.99,505.93,289.96,43.31,10.6,0.213,22.9,SENSOR_DRIFT,1,0.617,-16.59999999999991,-0.21999999999999886,-0.6299999999999955,8.200000000000045,-0.21999999999999886,0.5400000000000009,0.026999999999999996,0.13000000000000256
62.0,ENG-001,MIS-0001,DESCENT,30.01,6000.0,-14.36,1633.1,117.96,497.7,290.0,43.5,10.6,0.209,28.07,25.56,23.0,1640.4,117.01,506.07,290.04,43.34,10.6,0.212,22.9,SENSOR_DRIFT,1,0.625,-7.300000000000182,0.9499999999999886,-8.370000000000005,-0.040000000000020464,0.1599999999999966,0.0,-0.0030000000000000027,0.10000000000000142
63.0,ENG-001,MIS-0001,LANDING,19.97,6000.0,-14.22,1372.3,108.72,455.72,260.09,43.24,8.65,0.166,27.61,25.56,22.83,1359.0,107.97,453.82,259.9,43.38,8.39,0.201,22.6,SENSOR_DRIFT,1,0.632,13.299999999999955,0.75,1.900000000000034,0.18999999999999773,-0.14000000000000057,0.2599999999999998,-0.035,0.22999999999999687
64.0,ENG-001,MIS-0001,LANDING,23.04,6000.0,-14.55,1443.5,109.74,474.68,268.41,43.36,8.98,0.188,28.13,25.65,23.1,1445.2,110.74,469.83,269.13,43.41,9.07,0.203,22.69,SENSOR_DRIFT,1,0.638,-1.7000000000000455,-1.0,4.850000000000023,-0.7199999999999704,-0.04999999999999716,-0.08999999999999986,-0.015000000000000013,0.41000000000000014
0.0,ENG-002,MIS-0002,TAXI,13.14,0.0,25.19,1161.8,103.7,427.09,244.7,40.89,6.81,0.178,28.15,25.34,22.26,1167.9,104.94,424.54,239.41,40.03,6.89,0.194,22.39,LUBRICATION_ISSUE,0,0.0,-6.100000000000136,-1.2399999999999949,2.5499999999999545,5.289999999999992,0.8599999999999994,-0.08000000000000007,-0.016000000000000014,-0.129999999999999
